ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_3NP6V06n6Ea5N5Z,,,,,,,
R_1P776djwnwYYHqv,7,1,2,4,6,5,3
R_pSFEcWrIVGPzkcN,,,,,,,
R_1JUtR4olDrf7HbR,,,,,,,
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_9mlyPsE52APF3RT,7,2,1,4,6,3,5
R_3Gvw4BEgHtMjou7,,,,,,,
R_1etaPjf7ww473XA,,,,,,,
R_1lt6DlQzUc9YCuQ,,,,,,,
R_1M4HoMp9oXP92Jc,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_1gnCm7rvxLjS2rN,,,,,,,
R_2uq9Acrc4ykecue,,,,,,,
R_1OW6El7D3OdhNRf,,,,,,,
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_bHpYNSKRMzkT17z,,,,,,,
R_2tgjPTTsOMyIVO4,,,,,,,
R_1dvn1oXd2P5Cn5j,,,,,,,
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_2s5ZlVioDWKw8nl,7,5,3,1,4,2,6
R_3HviW61b1bwSd9l,,,,,,,
R_1OB0LxI7A9lN4v1,,,,,,,
R_1DpptG7RIqiyn7A,,,,,,,
R_see02VMCNuhmSQN,,,,,,,
R_2dLMPLyI3CfVNMD,,,,,,,
R_XMyDUO6vfwhb8CR,,,,,,,
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_9t3tC0i9hMcu7wl,,,,,,,
R_2qjW7wCBbBFUunR,,,,,,,
R_11db8BgtVC2jgQK,7,1,4,2,6,5,3
R_2ceH0MWA48ZbGWV,,,,,,,
R_2zcJ4lHWpUWKJ2n,,,,,,,
R_3LXdpHRFEVQIe4u,,,,,,,
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_OxHDuxOp8wX3Co1,,,,,,,
R_3Mapsvs7nPqOx01,,,,,,,
R_1dKyAHvfmPtEwpX,,,,,,,
R_2q9OkXfkfd1mKNK,,,,,,,
R_2Y2DOiMoGMWSQUx,,,,,,,
R_1KiKqNbCINEHxXY,,,,,,,
R_1Cxae15gxzt2pNE,,,,,,,
R_2PAxXAIEnt2gfqt,,,,,,,
R_2QrYYG4zX8M9X45,7,4,1,3,6,5,2
R_ZxHSmfKLU5TKoy5,,,,,,,
R_2Sxhtfy98WZgbDK,,,,,,,
R_2AQHobX7zarEkVF,,,,,,,
R_wLxhLmNWViOfUVH,,,,,,,
R_3DhBfeNEkEfvMqv,,,,,,,
R_6hvm6eM6zWh1LpL,,,,,,,
R_3fwNV4JCR7gYKCq,7,1,3,5,4,6,2
R_uwgtDqxLmrDWQLf,,,,,,,
R_2QyoYDd5Nw95V9i,,,,,,,
R_1lmiszxqcb8G6Br,,,,,,,
R_6JBdPlVxaRCxjah,,,,,,,
R_2ZNqQzhlTfV14P2,,,,,,,
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
R_3MtHobBp4TUfCnf,7,4,3,2,5,6,1
R_3DezCyLeytdTqTe,,,,,,,
R_1rPnXt5fSoW2ckE,,,,,,,
R_6JS2nMbliGrg85X,,,,,,,
