ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_3NP6V06n6Ea5N5Z,,,,,,
R_1P776djwnwYYHqv,3,6,2,5,1,4
R_pSFEcWrIVGPzkcN,,,,,,
R_1JUtR4olDrf7HbR,5,6,4,3,2,1
R_3kcX5GVjOS0Bqsc,4,1,3,6,2,5
R_9mlyPsE52APF3RT,,,,,,
R_3Gvw4BEgHtMjou7,5,6,3,4,1,2
R_1etaPjf7ww473XA,,,,,,
R_1lt6DlQzUc9YCuQ,1,5,3,4,6,2
R_1M4HoMp9oXP92Jc,,,,,,
R_3MrNOoshiY0ac9F,1,6,4,5,2,3
R_1CqN5FujZLDvcKR,1,6,5,2,4,3
R_1gnCm7rvxLjS2rN,,,,,,
R_2uq9Acrc4ykecue,2,1,5,6,3,4
R_1OW6El7D3OdhNRf,3,6,4,5,2,1
R_2X02uH9Mm87FxHp,3,1,2,4,6,5
R_bHpYNSKRMzkT17z,1,6,3,2,5,4
R_2tgjPTTsOMyIVO4,,,,,,
R_1dvn1oXd2P5Cn5j,2,6,4,3,1,5
R_1diviwEB1kpQfiN,3,6,2,4,1,5
R_2s5ZlVioDWKw8nl,,,,,,
R_3HviW61b1bwSd9l,4,6,1,5,2,3
R_1OB0LxI7A9lN4v1,4,6,5,1,2,3
R_1DpptG7RIqiyn7A,3,6,1,5,4,2
R_see02VMCNuhmSQN,2,6,4,5,1,3
R_2dLMPLyI3CfVNMD,,,,,,
R_XMyDUO6vfwhb8CR,4,6,5,2,3,1
R_1pXOYrzicaKEh9a,6,2,4,5,3,1
R_9t3tC0i9hMcu7wl,2,5,1,6,4,3
R_2qjW7wCBbBFUunR,,,,,,
R_11db8BgtVC2jgQK,2,6,4,5,1,3
R_2ceH0MWA48ZbGWV,3,6,2,4,1,5
R_2zcJ4lHWpUWKJ2n,,,,,,
R_3LXdpHRFEVQIe4u,1,6,4,5,2,3
R_2yl8CXmByyorHTE,5,6,3,4,2,1
R_OxHDuxOp8wX3Co1,4,1,5,2,3,6
R_3Mapsvs7nPqOx01,5,6,2,4,1,3
R_1dKyAHvfmPtEwpX,,,,,,
R_2q9OkXfkfd1mKNK,2,6,4,5,1,3
R_2Y2DOiMoGMWSQUx,1,6,4,5,2,3
R_1KiKqNbCINEHxXY,3,6,2,5,1,4
R_1Cxae15gxzt2pNE,3,6,2,5,1,4
R_2PAxXAIEnt2gfqt,1,6,3,5,2,4
R_2QrYYG4zX8M9X45,,,,,,
R_ZxHSmfKLU5TKoy5,5,6,4,2,1,3
R_2Sxhtfy98WZgbDK,2,6,1,5,4,3
R_2AQHobX7zarEkVF,3,6,2,5,1,4
R_wLxhLmNWViOfUVH,4,6,2,5,1,3
R_3DhBfeNEkEfvMqv,,,,,,
R_6hvm6eM6zWh1LpL,2,6,3,5,1,4
R_3fwNV4JCR7gYKCq,3,6,2,5,1,4
R_uwgtDqxLmrDWQLf,1,6,4,5,2,3
R_2QyoYDd5Nw95V9i,3,6,4,5,1,2
R_1lmiszxqcb8G6Br,5,6,3,4,2,1
R_6JBdPlVxaRCxjah,,,,,,
R_2ZNqQzhlTfV14P2,,,,,,
R_eG8r0YjTDRCybL3,6,3,2,5,1,4
R_3MtHobBp4TUfCnf,4,3,2,5,1,6
R_3DezCyLeytdTqTe,1,6,2,5,3,4
R_1rPnXt5fSoW2ckE,,,,,,
R_6JS2nMbliGrg85X,3,6,4,5,2,1
