ResponseID,To keep track of dependency vulnerabilities,To meet regulatory requirements,Because my organization asks me to,Other (please specify),Conduct software risk assessment prior to procurement and installation: https://energycentral.com/c/um/bod-and-c-level-series-software-vulnerability-reporting-and-risk-management ,To provide others with information about my project,To monitor project risk,To make it easier to understand dependencies in complex projects,No Answer,To proactively identify replacements for components that reach end-of-life,Research into SBOMs,To monitor project dependencies,To meet software licensing requirements,Because it's automatic for my builds on Launchpad
R_1P776djwnwYYHqv,,,,,,,,,1,,,,,
R_1JUtR4olDrf7HbR,,,,,,,,,1,,,,,
R_3kcX5GVjOS0Bqsc,1,1,,,,1,,,,,,1,1,
R_1lt6DlQzUc9YCuQ,1,1,,,,1,,,,,,1,1,
R_3MrNOoshiY0ac9F,1,1,,,,,,,,1,,,,
R_1CqN5FujZLDvcKR,1,1,1,1,,1,1,1,,1,,1,1,
R_2uq9Acrc4ykecue,,,,,,,,,1,,,,,
R_1OW6El7D3OdhNRf,1,1,,,,,,1,,,,1,1,
R_2X02uH9Mm87FxHp,1,,,1,1,,,,,,,,,
R_bHpYNSKRMzkT17z,,,,,,,,,1,,,,,
R_1dvn1oXd2P5Cn5j,1,,,,,1,,1,,,,1,,
R_1diviwEB1kpQfiN,1,1,,,,1,,1,,1,,1,1,
R_1OB0LxI7A9lN4v1,1,,,,,,,1,,,,1,1,
R_1DpptG7RIqiyn7A,,,,,,,,,1,,,,,
R_see02VMCNuhmSQN,,,,,,,,,1,,,,,
R_XMyDUO6vfwhb8CR,,1,,,,,,1,,,,,1,
R_1pXOYrzicaKEh9a,1,,,,,,,1,,1,,1,,
R_3LXdpHRFEVQIe4u,,,,,,,,,1,,,,,
R_2yl8CXmByyorHTE,1,,,,,1,,1,,1,,1,,
R_2q9OkXfkfd1mKNK,1,,,,,1,,,,,,1,,
R_1KiKqNbCINEHxXY,1,,,,,1,,,,,,1,,
R_2PAxXAIEnt2gfqt,1,,,,,,,1,,,,1,,
R_ZxHSmfKLU5TKoy5,,,,,,,,,1,,,,,
R_2Sxhtfy98WZgbDK,,,,,,,,,1,,,,,
R_2AQHobX7zarEkVF,,,,,,,,,1,,,,,
R_wLxhLmNWViOfUVH,1,,,,,1,,,,,,1,1,
R_6hvm6eM6zWh1LpL,,,,,,,,,1,,,,,
R_3fwNV4JCR7gYKCq,1,,,,,1,,,,,,1,,
R_eG8r0YjTDRCybL3,1,1,,,,1,,,,1,,1,1,
R_3MtHobBp4TUfCnf,1,1,1,1,,1,,1,,1,1,1,1,
R_3DezCyLeytdTqTe,1,,,1,,1,,,,,,,,1
