ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_1P776djwnwYYHqv,7,1,2,4,6,5,3
R_1JUtR4olDrf7HbR,,,,,,,
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_1lt6DlQzUc9YCuQ,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_2uq9Acrc4ykecue,,,,,,,
R_1OW6El7D3OdhNRf,,,,,,,
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_bHpYNSKRMzkT17z,,,,,,,
R_1dvn1oXd2P5Cn5j,,,,,,,
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_1OB0LxI7A9lN4v1,,,,,,,
R_1DpptG7RIqiyn7A,,,,,,,
R_see02VMCNuhmSQN,,,,,,,
R_XMyDUO6vfwhb8CR,,,,,,,
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_3LXdpHRFEVQIe4u,,,,,,,
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_2q9OkXfkfd1mKNK,,,,,,,
R_1KiKqNbCINEHxXY,,,,,,,
R_2PAxXAIEnt2gfqt,,,,,,,
R_ZxHSmfKLU5TKoy5,,,,,,,
R_2Sxhtfy98WZgbDK,,,,,,,
R_2AQHobX7zarEkVF,,,,,,,
R_wLxhLmNWViOfUVH,,,,,,,
R_6hvm6eM6zWh1LpL,,,,,,,
R_3fwNV4JCR7gYKCq,7,1,3,5,4,6,2
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
R_3MtHobBp4TUfCnf,7,4,3,2,5,6,1
R_3DezCyLeytdTqTe,,,,,,,
