ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_1P776djwnwYYHqv,3,6,2,5,1,4
R_1JUtR4olDrf7HbR,5,6,4,3,2,1
R_3kcX5GVjOS0Bqsc,4,1,3,6,2,5
R_1lt6DlQzUc9YCuQ,1,5,3,4,6,2
R_3MrNOoshiY0ac9F,1,6,4,5,2,3
R_1CqN5FujZLDvcKR,1,6,5,2,4,3
R_2uq9Acrc4ykecue,2,1,5,6,3,4
R_1OW6El7D3OdhNRf,3,6,4,5,2,1
R_2X02uH9Mm87FxHp,3,1,2,4,6,5
R_bHpYNSKRMzkT17z,1,6,3,2,5,4
R_1dvn1oXd2P5Cn5j,2,6,4,3,1,5
R_1diviwEB1kpQfiN,3,6,2,4,1,5
R_1OB0LxI7A9lN4v1,4,6,5,1,2,3
R_1DpptG7RIqiyn7A,3,6,1,5,4,2
R_see02VMCNuhmSQN,2,6,4,5,1,3
R_XMyDUO6vfwhb8CR,4,6,5,2,3,1
R_1pXOYrzicaKEh9a,6,2,4,5,3,1
R_3LXdpHRFEVQIe4u,1,6,4,5,2,3
R_2yl8CXmByyorHTE,5,6,3,4,2,1
R_2q9OkXfkfd1mKNK,2,6,4,5,1,3
R_1KiKqNbCINEHxXY,3,6,2,5,1,4
R_2PAxXAIEnt2gfqt,1,6,3,5,2,4
R_ZxHSmfKLU5TKoy5,5,6,4,2,1,3
R_2Sxhtfy98WZgbDK,2,6,1,5,4,3
R_2AQHobX7zarEkVF,3,6,2,5,1,4
R_wLxhLmNWViOfUVH,4,6,2,5,1,3
R_6hvm6eM6zWh1LpL,2,6,3,5,1,4
R_3fwNV4JCR7gYKCq,3,6,2,5,1,4
R_eG8r0YjTDRCybL3,6,3,2,5,1,4
R_3MtHobBp4TUfCnf,4,3,2,5,1,6
R_3DezCyLeytdTqTe,1,6,2,5,3,4
