ResponseID,S4,S7,P7,C4,C5,T5,E2,E3,SC1,SC2,SC3,SC4,SC5,SC6,Q1,Q2,Q3,Q6,Q8,Q9,Q10
R_1P776djwnwYYHqv,Disagree,Strongly disagree,,Every day,Yes,,Agree,Agree,Agree,Yes,Disagree,Strongly disagree,No,,23,IT Manager,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_1JUtR4olDrf7HbR,Agree,Neutral,,Once per month,Yes,,,,Strongly agree,Yes,Neutral,Disagree,No,,21,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Monthly
R_3kcX5GVjOS0Bqsc,Strongly agree,Neutral,Yes,Every day,Yes,Agree,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,40,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_1lt6DlQzUc9YCuQ,Agree,Neutral,Yes,Every day,Yes,Strongly disagree,,,Strongly agree,Yes,Agree,Disagree,Yes,I don’t know,20,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, informal",No,Quarterly
R_3MrNOoshiY0ac9F,Agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Neutral,No,,15,Project Lead,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",More frequently
R_1CqN5FujZLDvcKR,Neutral,Disagree,Yes,Depends on release cycle,Yes,Disagree,Neutral,Neutral,,Yes,Neutral,Disagree,Yes,Yes,40,Consultant,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_2uq9Acrc4ykecue,Agree,Disagree,,Every day,Yes,Disagree,,,Strongly agree,Yes,Agree,Agree,No,,22,CTO,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_1OW6El7D3OdhNRf,Strongly agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Agree,No,,3,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, formal",No,Monthly
R_2X02uH9Mm87FxHp,Strongly disagree,Strongly agree,Yes,Every day,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Yes,Yes,40,Project Lead,Some college,Closed source only,"Yes, formal","Yes, informal",Quarterly
R_bHpYNSKRMzkT17z,Agree,Disagree,,we use it when we decide to use an open source component,No,Disagree,,,Strongly agree,No,,,,,,OSPO member,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Annually
