ResponseID,To keep track of dependency vulnerabilities,To meet regulatory requirements,Because my organization asks me to,Other (please specify),Conduct software risk assessment prior to procurement and installation: https://energycentral.com/c/um/bod-and-c-level-series-software-vulnerability-reporting-and-risk-management ,To provide others with information about my project,To monitor project risk,To make it easier to understand dependencies in complex projects,No Answer,To proactively identify replacements for components that reach end-of-life,Research into SBOMs,To monitor project dependencies,To meet software licensing requirements
R_1P776djwnwYYHqv,,,,,,,,,1,,,,
R_3kcX5GVjOS0Bqsc,1,1,,,,1,,,,,,1,1
R_9mlyPsE52APF3RT,,,,,,,,,1,,,,
R_1CqN5FujZLDvcKR,1,1,1,1,,1,1,1,,1,,1,1
R_2X02uH9Mm87FxHp,1,,,1,1,,,,,,,,
R_1diviwEB1kpQfiN,1,1,,,,1,,1,,1,,1,1
R_2s5ZlVioDWKw8nl,,,,,,,,,1,,,,
R_1pXOYrzicaKEh9a,1,,,,,,,1,,1,,1,
R_11db8BgtVC2jgQK,1,,,,,,,,,1,,1,1
R_2yl8CXmByyorHTE,1,,,,,1,,1,,1,,1,
R_2QrYYG4zX8M9X45,,,,,,,,,1,,,,
R_3fwNV4JCR7gYKCq,1,,,,,1,,,,,,1,
R_eG8r0YjTDRCybL3,1,1,,,,1,,,,1,,1,1
R_3MtHobBp4TUfCnf,1,1,1,1,,1,,1,,1,1,1,1
