ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_1P776djwnwYYHqv,7,1,2,4,6,5,3
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_9mlyPsE52APF3RT,7,2,1,4,6,3,5
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_2s5ZlVioDWKw8nl,7,5,3,1,4,2,6
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_11db8BgtVC2jgQK,7,1,4,2,6,5,3
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_2QrYYG4zX8M9X45,7,4,1,3,6,5,2
R_3fwNV4JCR7gYKCq,7,1,3,5,4,6,2
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
R_3MtHobBp4TUfCnf,7,4,3,2,5,6,1
