ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_1P776djwnwYYHqv,3,6,2,5,1,4
R_3kcX5GVjOS0Bqsc,4,1,3,6,2,5
R_9mlyPsE52APF3RT,,,,,,
R_1CqN5FujZLDvcKR,1,6,5,2,4,3
R_2X02uH9Mm87FxHp,3,1,2,4,6,5
R_1diviwEB1kpQfiN,3,6,2,4,1,5
R_2s5ZlVioDWKw8nl,,,,,,
R_1pXOYrzicaKEh9a,6,2,4,5,3,1
R_11db8BgtVC2jgQK,2,6,4,5,1,3
R_2yl8CXmByyorHTE,5,6,3,4,2,1
R_2QrYYG4zX8M9X45,,,,,,
R_3fwNV4JCR7gYKCq,3,6,2,5,1,4
R_eG8r0YjTDRCybL3,6,3,2,5,1,4
R_3MtHobBp4TUfCnf,4,3,2,5,1,6
