In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,Sm3,Sc8,Sc9
1,R_1P776djwnwYYHqv,"['DependencyTracker', 'Licensing', 'Security', 'Versioning']",,"['Tooling', 'LanguageSupport', 'Inconsistency']",['Tooling'],"['LanguageSpecificTools', 'ReportGenerationTools']",,,,,,"['Inconsistency', 'MissingToolFeatures']",,"['InsecureByDefault', 'CodeReview', 'TestCases']",['PackageManager']
4,R_3kcX5GVjOS0Bqsc,"['DependencyTracker', 'Licensing', 'Security', 'Compliance', 'Transparency']","['Identifier', 'UseCase']","['Underspecification', 'TooManyStandards', 'Comprehension']","['Standardization', 'Documentation']",['BetterLibraries'],['InRepository'],"['SatisfiedRequirements', 'IncreasedAdoption']","['TiedToSoftwareVersion', 'Identifier']","['EnvironmentSupport', 'Tooling']","['DependencyTracking', 'VulnerabilityDetection']","['Inconsistency', 'DifferentStandards']","['Website', 'GoverningBodies', 'SocialMedia']","['ReadDescription', 'CodeReview']","['PackageManager', 'Scanner']"
5,R_9mlyPsE52APF3RT,"['DependencyTracker', 'Security']",,['YoungTechnology'],"['Standardization', 'Tooling']",['BadAnswer'],,,,,,,,['ToolAssisted'],['CallGraph']
12,R_1CqN5FujZLDvcKR,"['DependencyTracker', 'Licensing', 'Security', 'Versioning', 'MachineReadable', 'Provenance']","['Name', 'License', 'Version', 'Organization']","['Overspecification', 'Inconsistency', 'TooManyStandards', 'UnavailableInformation']",['Standardization'],['Communication'],['DeliveredWithArtifact'],"['LocateSecurityIssues','DependencyManagement', 'Licensing']",['ToolAssisted'],"['EnvironmentSupport', 'Tooling', 'UnavailableInformation']",['DependencyTracking'],['Inconsistency'],['GoverningBodies'],['CodeReview'],['PackageManager']
17,R_2X02uH9Mm87FxHp,"['DependencyTracker', 'Security', 'Licensing']",['BadAnswer'],['SbomDistribution'],['SupportRelatedOrganizations'],['SupportRelatedOrganizations'],['VendorDiscretion'],,['Database'],['Tooling'],,['Inconsistency'],['BadAnswer'],['ReadDescription'],['PackageManager']
38,R_1diviwEB1kpQfiN,"['DependencyTracker', 'Licensing', 'Security']",['URL'],"['Underspecification', 'Overspecification', 'Comprehension']",['Standardization'],['BadAnswer'],['BadAnswer'],"['DependencyManagement', 'Licensing']",['TiedToSoftwareVersion'],"['SpecificationComprehension', 'ImplementationDifficulty', 'InteroperabilityIssues']",,['PoorQualitySboms'],,"['ReadDescription', 'ToolAssisted']","['Scanner', 'CallGraph']"
41,R_2s5ZlVioDWKw8nl,['BadAnswer'],,['NoDeficiencies'],['SupportRelatedOrganizations'],['BadAnswer'],,,,,,,,,
219,R_1pXOYrzicaKEh9a,"['DependencyTracker', 'Language']",['Identifier'],['Tooling'],['Tooling'],['GenerateAccurateSbom'],,['LocateSecurityIssues'],"['ToolAssisted', 'ContinuousIntegration']",['PoorQualitySboms'],,"['Inconsistency', 'ToolBugs']",['GoverningBodies'],['ReadDescription'],['SBOM']
229,R_11db8BgtVC2jgQK,['DependencyTracker'],"['Name', 'Identifier', 'Version']",['BadAnswer'],['BadAnswer'],['BadAnswer'],['NotRecalculable'],"['Licensing', 'DependencyManagement', 'LocateSecurityIssues']",,['NotBackwardCompatible'],,,,['BadAnswer'],['PackageManager']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
248,R_2QrYYG4zX8M9X45,['BadAnswer'],,['AmbiguousGuidance'],['Standardization'],['ClarifiedStandards'],,,,,,,,,
255,R_3fwNV4JCR7gYKCq,['DependencyTracker'],['Dependencies'],['BadAnswer'],['BadAnswer'],['BadAnswer'],"['InRepository', 'ShouldBeSigned']",,,['NoIssues'],['Verification'],['NoIssues'],,['BadAnswer'],['SBOM']
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
282,R_3MtHobBp4TUfCnf,"['Security', 'DependencyTracker', 'Licensing', 'ToolTracking']",['BadAnswer'],"['UseCaseSupport', 'MissingFields']",['ImproveOverTime'],"['CompatibilityBetweenTools', 'HigherSbomQuality']",,,['BadAnswer'],"['NumberOfSBOMs', 'FastReleases', 'EndUserNeedsUnclear']",,['HardToGetSBOM'],,"['SecurityExperts', 'ReadDescription']",['BadAnswer']
