ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_3Gvw4BEgHtMjou7,,,,,,,
R_1lt6DlQzUc9YCuQ,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_1OW6El7D3OdhNRf,,,,,,,
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_1dvn1oXd2P5Cn5j,,,,,,,
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_3HviW61b1bwSd9l,,,,,,,
R_1OB0LxI7A9lN4v1,,,,,,,
R_XMyDUO6vfwhb8CR,,,,,,,
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_9t3tC0i9hMcu7wl,,,,,,,
R_11db8BgtVC2jgQK,7,1,4,2,6,5,3
R_2ceH0MWA48ZbGWV,,,,,,,
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_OxHDuxOp8wX3Co1,,,,,,,
R_3Mapsvs7nPqOx01,,,,,,,
R_2q9OkXfkfd1mKNK,,,,,,,
R_2Y2DOiMoGMWSQUx,,,,,,,
R_1KiKqNbCINEHxXY,,,,,,,
R_1Cxae15gxzt2pNE,,,,,,,
R_2PAxXAIEnt2gfqt,,,,,,,
R_wLxhLmNWViOfUVH,,,,,,,
R_3fwNV4JCR7gYKCq,7,1,3,5,4,6,2
R_uwgtDqxLmrDWQLf,,,,,,,
R_2QyoYDd5Nw95V9i,,,,,,,
R_1lmiszxqcb8G6Br,,,,,,,
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
R_3MtHobBp4TUfCnf,7,4,3,2,5,6,1
R_3DezCyLeytdTqTe,,,,,,,
R_1rPnXt5fSoW2ckE,,,,,,,
R_6JS2nMbliGrg85X,,,,,,,
