ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_3kcX5GVjOS0Bqsc,4,1,3,6,2,5
R_3Gvw4BEgHtMjou7,5,6,3,4,1,2
R_1lt6DlQzUc9YCuQ,1,5,3,4,6,2
R_3MrNOoshiY0ac9F,1,6,4,5,2,3
R_1CqN5FujZLDvcKR,1,6,5,2,4,3
R_1OW6El7D3OdhNRf,3,6,4,5,2,1
R_2X02uH9Mm87FxHp,3,1,2,4,6,5
R_1dvn1oXd2P5Cn5j,2,6,4,3,1,5
R_1diviwEB1kpQfiN,3,6,2,4,1,5
R_3HviW61b1bwSd9l,4,6,1,5,2,3
R_1OB0LxI7A9lN4v1,4,6,5,1,2,3
R_XMyDUO6vfwhb8CR,4,6,5,2,3,1
R_1pXOYrzicaKEh9a,6,2,4,5,3,1
R_9t3tC0i9hMcu7wl,2,5,1,6,4,3
R_11db8BgtVC2jgQK,2,6,4,5,1,3
R_2ceH0MWA48ZbGWV,3,6,2,4,1,5
R_2yl8CXmByyorHTE,5,6,3,4,2,1
R_OxHDuxOp8wX3Co1,4,1,5,2,3,6
R_3Mapsvs7nPqOx01,5,6,2,4,1,3
R_2q9OkXfkfd1mKNK,2,6,4,5,1,3
R_2Y2DOiMoGMWSQUx,1,6,4,5,2,3
R_1KiKqNbCINEHxXY,3,6,2,5,1,4
R_1Cxae15gxzt2pNE,3,6,2,5,1,4
R_2PAxXAIEnt2gfqt,1,6,3,5,2,4
R_wLxhLmNWViOfUVH,4,6,2,5,1,3
R_3fwNV4JCR7gYKCq,3,6,2,5,1,4
R_uwgtDqxLmrDWQLf,1,6,4,5,2,3
R_2QyoYDd5Nw95V9i,3,6,4,5,1,2
R_1lmiszxqcb8G6Br,5,6,3,4,2,1
R_eG8r0YjTDRCybL3,6,3,2,5,1,4
R_3MtHobBp4TUfCnf,4,3,2,5,1,6
R_3DezCyLeytdTqTe,1,6,2,5,3,4
R_1rPnXt5fSoW2ckE,,,,,,
R_6JS2nMbliGrg85X,3,6,4,5,2,1
