ResponseID,"Generally SCA, and embedding in other SCA tools.",Businesses and organizations seeking to gain insights into the connections between different pieces of software that they use and/or maintain,Software supply chain risk assessments in accordance with  NIST/CISA requirements for OMB memo M-22-18,Other (please specify),Software stakeholders seeking to enhance their projects’ security,Businesses and organizations seeking to meet requirements set by regulatory bodies,Software stakeholders seeking to analyze a project's dependencies,Software stakeholders seeking to remove/replace end-of-life components,No Answer,Software stakeholders seeking to create SBOMs for their projects,Software stakeholders seeking to meet licensing requirements
R_pSFEcWrIVGPzkcN,,,,,,,,,1,,
R_3kcX5GVjOS0Bqsc,,1,,,1,1,1,,,1,1
R_1etaPjf7ww473XA,,,,,1,1,1,,,,1
R_1lt6DlQzUc9YCuQ,,1,,,1,1,1,,,1,1
R_1M4HoMp9oXP92Jc,,,,,1,,1,,,,
R_3MrNOoshiY0ac9F,,,,,,1,,,,1,
R_1CqN5FujZLDvcKR,,,,,1,,1,,,1,1
R_1gnCm7rvxLjS2rN,,,,,1,1,,1,,1,
R_2X02uH9Mm87FxHp,,1,1,1,1,1,,,,,
R_bHpYNSKRMzkT17z,,,,,,1,,,,1,1
R_2tgjPTTsOMyIVO4,,,,,,,,,1,,
R_1diviwEB1kpQfiN,1,1,,1,1,1,1,1,,1,1
R_2dLMPLyI3CfVNMD,,,,,,,,,1,,
R_1pXOYrzicaKEh9a,,1,,,1,1,1,1,,1,1
R_2yl8CXmByyorHTE,,,,,,,,1,,,
R_eG8r0YjTDRCybL3,,1,,,1,1,1,1,,1,1
