ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_pSFEcWrIVGPzkcN,,,,,,,
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_1etaPjf7ww473XA,,,,,,,
R_1lt6DlQzUc9YCuQ,,,,,,,
R_1M4HoMp9oXP92Jc,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_1gnCm7rvxLjS2rN,,,,,,,
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_bHpYNSKRMzkT17z,,,,,,,
R_2tgjPTTsOMyIVO4,,,,,,,
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_2dLMPLyI3CfVNMD,,,,,,,
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
