ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_pSFEcWrIVGPzkcN,,,,,,
R_3kcX5GVjOS0Bqsc,4,1,3,6,2,5
R_1etaPjf7ww473XA,,,,,,
R_1lt6DlQzUc9YCuQ,1,5,3,4,6,2
R_1M4HoMp9oXP92Jc,,,,,,
R_3MrNOoshiY0ac9F,1,6,4,5,2,3
R_1CqN5FujZLDvcKR,1,6,5,2,4,3
R_1gnCm7rvxLjS2rN,,,,,,
R_2X02uH9Mm87FxHp,3,1,2,4,6,5
R_bHpYNSKRMzkT17z,1,6,3,2,5,4
R_2tgjPTTsOMyIVO4,,,,,,
R_1diviwEB1kpQfiN,3,6,2,4,1,5
R_2dLMPLyI3CfVNMD,,,,,,
R_1pXOYrzicaKEh9a,6,2,4,5,3,1
R_2yl8CXmByyorHTE,5,6,3,4,2,1
R_eG8r0YjTDRCybL3,6,3,2,5,1,4
