ResponseID,S4,S7,P7,C4,C5,T5,E2,E3,SC1,SC2,SC3,SC4,SC5,SC6,Q1,Q2,Q3,Q6,Q8,Q9,Q10
R_pSFEcWrIVGPzkcN,Strongly agree,,,,,,,,Strongly agree,Yes,Neutral,Neutral,No,,,Licensing Officer,Master's Degree,,No,"Yes, informal",
R_3kcX5GVjOS0Bqsc,Strongly agree,Neutral,Yes,Every day,Yes,Agree,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,40,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_1etaPjf7ww473XA,Strongly agree,Strongly disagree,,,,Disagree,,,Strongly agree,Yes,Disagree,Strongly disagree,Yes,Yes,22,IT Manager,Bachelor's Degree,Open source only,"Yes, informal","Yes, informal",Monthly
R_1lt6DlQzUc9YCuQ,Agree,Neutral,Yes,Every day,Yes,Strongly disagree,,,Strongly agree,Yes,Agree,Disagree,Yes,I don’t know,20,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, informal",No,Quarterly
R_1M4HoMp9oXP92Jc,Neutral,Neutral,,,,Neutral,,,Agree,Yes,Neutral,Neutral,No,,10,Project Lead,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_3MrNOoshiY0ac9F,Agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Neutral,No,,15,Project Lead,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",More frequently
R_1CqN5FujZLDvcKR,Neutral,Disagree,Yes,Depends on release cycle,Yes,Disagree,Neutral,Neutral,,Yes,Neutral,Disagree,Yes,Yes,40,Consultant,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_1gnCm7rvxLjS2rN,Strongly agree,Agree,,,,Agree,,,Strongly agree,No,,,,,,Consultant,Master's Degree,Both open source and closed source,"Yes, formal",No,Never
R_2X02uH9Mm87FxHp,Strongly disagree,Strongly agree,Yes,Every day,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Yes,Yes,40,Project Lead,Some college,Closed source only,"Yes, formal","Yes, informal",Quarterly
R_bHpYNSKRMzkT17z,Agree,Disagree,,we use it when we decide to use an open source component,No,Disagree,,,Strongly agree,No,,,,,,OSPO member,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Annually
R_2tgjPTTsOMyIVO4,Neutral,,,,,,,,Strongly agree,No,,,,,,researcher,High School,,"Yes, informal","Yes, informal",
R_1diviwEB1kpQfiN,Strongly agree,Agree,Yes,on each commit and build,Yes,Disagree,Disagree,Disagree,Strongly agree,Yes,Agree,Neutral,Yes,Yes,25,Project Lead,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_2dLMPLyI3CfVNMD,Agree,,,,,,,,Strongly agree,No,,,,,,Project Lead,Doctoral Degree,,"Yes, formal","Yes, formal",
R_1pXOYrzicaKEh9a,Strongly agree,Disagree,Yes,Every day,Yes,Disagree,Agree,Disagree,Strongly agree,Yes,Neutral,Agree,No,,20,CTO,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, formal",More frequently
R_2yl8CXmByyorHTE,Strongly agree,Agree,Yes,Every day,Yes,Neutral,Neutral,Agree,Strongly agree,Yes,Agree,Neutral,Yes,Yes,30,Programmer,Doctoral Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_eG8r0YjTDRCybL3,Strongly agree,Neutral,Yes,Every day,Yes,Neutral,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,35,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
