ResponseID,Other,Integration of SBOM functionality into existing tools,Official SBOM format documentation,Conference presentations,Requirements set by regulatory bodies,Specialized training courses or seminars,Curated SBOM examples
R_3kcX5GVjOS0Bqsc,7,3,1,4,6,5,2
R_3Gvw4BEgHtMjou7,,,,,,,
R_1etaPjf7ww473XA,,,,,,,
R_1lt6DlQzUc9YCuQ,,,,,,,
R_1M4HoMp9oXP92Jc,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,5,7,3,6,1,2
R_1gnCm7rvxLjS2rN,,,,,,,
R_2uq9Acrc4ykecue,,,,,,,
R_1OW6El7D3OdhNRf,,,,,,,
R_2X02uH9Mm87FxHp,7,4,3,6,2,5,1
R_bHpYNSKRMzkT17z,,,,,,,
R_1diviwEB1kpQfiN,7,2,1,4,6,5,3
R_1pXOYrzicaKEh9a,7,2,6,3,4,1,5
R_9t3tC0i9hMcu7wl,,,,,,,
R_2zcJ4lHWpUWKJ2n,,,,,,,
R_2yl8CXmByyorHTE,7,2,3,4,6,5,1
R_1dKyAHvfmPtEwpX,,,,,,,
R_2q9OkXfkfd1mKNK,,,,,,,
R_1KiKqNbCINEHxXY,,,,,,,
R_1Cxae15gxzt2pNE,,,,,,,
R_uwgtDqxLmrDWQLf,,,,,,,
R_eG8r0YjTDRCybL3,7,3,4,2,6,5,1
R_3MtHobBp4TUfCnf,7,4,3,2,5,6,1
