ResponseID,not widely known/used/adopted,Difficulty in understanding standards / specifications,"The biggest barrier is a lack of consensus on whether SBOMs actually provide value. If your SBOM says authoritatively, ""we depend on FooSoft, developed by Kim Bar"" but you know nothing about Kim Bar, it is debatable whether you have improved the status quo.",Others (please specify),Ambiguous or contradictory guidance,Lack of support for AI/ML-based software,No Answer,Difficulty to verify that information in SBOMs is accurate,Too many competing standards,Under-specification of standards,Lack of formal distribution and sharing recommendations,Some are too targeted to more dependency heavy languages.,Incompatibilities between standards / specifications,Lack of support for some programming languages and/or ecosystems,No response
R_OIFPGROQKKKFXy1,1,,,1,,,,,,,,,,,
R_2BmS1TQTioc9AGV,,,,1,,,,,,,,,,,1
R_3KVnzvfW2dIXz1t,,,,,,,1,,,,,,,,
R_2Y5Qf0TkbmDkYZF,,,,,,,1,,,,,,,,
R_vH7zv42GvE1uQQV,,,,,,,1,,,,,,,,
R_WCMDq7mYuO9GEmd,,,,,,,1,,,,,,,,
R_1l65kF3dZ6EjvRP,,,,,1,,,1,,,1,,,,
R_1rrmdvdJbMbMjpL,,,,,1,,,1,,,1,,1,,
R_4NtzXTLGcXmyvtf,,,,1,1,,,,,,,1,,1,
R_3rHTLEIdiO8tJwt,,,,,,,1,,,,,,,,
R_ebXY3RIvhqmZxBf,,,,,,,,,,,,,,1,
R_1E1gn4jpW8DYZCN,,,,,,,1,,,,,,,,
R_ahFliHRHKOE9L3j,,,,,,,1,,,,,,,,
R_DqmdF5rv1lhdemJ,,,,,,,,,,,1,,,,
R_24vJZ4SlgCPtrqV,,,,,,,,,1,,,,,,
R_4TKAF9mkGKzXltf,,,,,,,1,,,,,,,,
R_3Op6E626ybw8q5o,,,,,,,1,,,,,,,,
R_2dmDMUTW9P2ISiB,,,,,,,,1,,,,,,,
R_1Hjbzz2khJ4Cwpu,,1,,,1,,,1,1,1,1,,1,,
R_XRJoz2jwg9leN8d,,,,,,,1,,,,,,,,
R_1jYT2f0uikPEOFO,,,,,,1,,,1,,,,,,
R_1i87XDsBprVq0hT,,,1,1,,,,,1,,1,,,1,
