ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_OIFPGROQKKKFXy1,,,,,,
R_2BmS1TQTioc9AGV,3,6,2,5,1,4
R_3KVnzvfW2dIXz1t,,,,,,
R_2Y5Qf0TkbmDkYZF,,,,,,
R_vH7zv42GvE1uQQV,,,,,,
R_WCMDq7mYuO9GEmd,,,,,,
R_1l65kF3dZ6EjvRP,,,,,,
R_1rrmdvdJbMbMjpL,,,,,,
R_4NtzXTLGcXmyvtf,4,6,3,5,1,2
R_3rHTLEIdiO8tJwt,,,,,,
R_ebXY3RIvhqmZxBf,2,6,3,4,1,5
R_1E1gn4jpW8DYZCN,,,,,,
R_ahFliHRHKOE9L3j,,,,,,
R_DqmdF5rv1lhdemJ,,,,,,
R_24vJZ4SlgCPtrqV,,,,,,
R_4TKAF9mkGKzXltf,,,,,,
R_3Op6E626ybw8q5o,,,,,,
R_2dmDMUTW9P2ISiB,,,,,,
R_1Hjbzz2khJ4Cwpu,,,,,,
R_XRJoz2jwg9leN8d,,,,,,
R_1jYT2f0uikPEOFO,3,1,5,6,2,4
R_1i87XDsBprVq0hT,,,,,,
