ResponseID,S1,S2,S3,FS2,FS3,FS6,FS9,P1,P6,IP1,C3,C4,FN2,O1,O2,Q1,Q2,Q3,Q6,Q8,Q9,Q10
R_OIFPGROQKKKFXy1,Disagree,Disagree,"Yes, my projects voluntarily publish their dependencies",Agree,Neutral,Neutral,,,,,,,No,No,,20,Programmer,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Annually
R_2BmS1TQTioc9AGV,Strongly agree,Strongly agree,"Yes, my projects are required to publish their dependencies",Strongly agree,Neutral,Neutral,No,We produce SBOMs internally to help manage our software projects,I don't know,,Once per week,Yes,,No,,25,Product Manager,Bachelor's Degree,Open source only,No,"Yes, informal",Quarterly
R_3KVnzvfW2dIXz1t,,,"Yes, my projects are required to publish their dependencies",,,,,,,,,,,No,,20,Consultant,Some college,Open source only,No,"Yes, informal",Quarterly
R_2Y5Qf0TkbmDkYZF,,,"Yes, my projects voluntarily publish their dependencies",,,,,,,,,,,No,,12,Programmer,High School,Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_vH7zv42GvE1uQQV,,,"No, my projects do not publish their dependencies",,,,,,,,,,,No,,24,Educator,Doctoral Degree,Both open source and closed source,"Yes, formal","Yes, formal",Never
R_WCMDq7mYuO9GEmd,Neutral,Neutral,"No, my projects do not publish their dependencies",,,,,,,,,,,No,,40,Programmer,Bachelor's Degree,Open source only,"Yes, informal","Yes, informal",More frequently
R_1l65kF3dZ6EjvRP,Neutral,Neutral,"Yes, my projects voluntarily publish their dependencies",Agree,Disagree,Neutral,,,,,,,No,No,,1,"Sr. Director, Cybersecurity",Bachelor's Degree,Open source only,"Yes, formal","Yes, informal",Quarterly
R_1rrmdvdJbMbMjpL,Disagree,Disagree,"Yes, my projects voluntarily publish their dependencies",Neutral,Disagree,Disagree,,,,,,,No,No,,35,Programmer,Some college,Both open source and closed source,"Yes, informal",No,Quarterly
R_4NtzXTLGcXmyvtf,Agree,Neutral,"Yes, my projects voluntarily publish their dependencies",Neutral,Neutral,Disagree,No,,,,,No,,No,,17,Project Lead,Some college,Open source only,"Yes, informal","Yes, informal",Quarterly
R_3rHTLEIdiO8tJwt,,,"Yes, my projects voluntarily publish their dependencies",,,,,,,,,,,No,,27,Programmer,Doctoral Degree,Open source only,No,No,More frequently
R_ebXY3RIvhqmZxBf,Strongly agree,Strongly agree,"Yes, my projects are required to publish their dependencies",Strongly agree,Agree,Agree,Yes,"We produce SBOMs internally to help manage our software projects,We produce SBOMs for the purpose of providing them to projects that depend on my software",No,Yes,Every day,Yes,,No,,30,Project Lead,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_1E1gn4jpW8DYZCN,,,"Yes, my projects are required to publish their dependencies",,,,,,,,,,,No,,10,Programmer,High School,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_ahFliHRHKOE9L3j,,,"Yes, my projects voluntarily publish their dependencies",,,,,,,,,,,No,,30,Programmer,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_DqmdF5rv1lhdemJ,Agree,Agree,"Yes, my projects voluntarily publish their dependencies",Strongly agree,Agree,Agree,Yes,We produce SBOMs for the purpose of providing them to projects that depend on my software,Yes,,,,,No,,20,Project Lead,Bachelor's Degree,Closed source only,"Yes, informal","Yes, informal",Quarterly
R_24vJZ4SlgCPtrqV,Neutral,Neutral,"Yes, my projects voluntarily publish their dependencies",Neutral,Neutral,Neutral,,,,,,,No,Somewhat,I believe OBOMs describe the deployment and runtime requirements in addition to the versions of the software,25,Programmer,Some college,Open source only,"Yes, informal","Yes, informal",More frequently
R_4TKAF9mkGKzXltf,,,"Yes, my projects are required to publish their dependencies",,,,,,,,,,,No,,9,DevOps Engineer,Doctoral Degree,Open source only,No,No,Never
R_3Op6E626ybw8q5o,,,"Yes, my projects voluntarily publish their dependencies",,,,,,,,,,,No,,38,Project Lead,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Annually
R_2dmDMUTW9P2ISiB,Neutral,Neutral,"Yes, my projects are required to publish their dependencies",Neutral,Neutral,Neutral,,,,,,,No,No,,20,Project Lead,Bachelor's Degree,Both open source and closed source,"Yes, informal",No,Annually
R_1Hjbzz2khJ4Cwpu,Agree,Disagree,"Yes, my projects voluntarily publish their dependencies",Disagree,Disagree,Disagree,,,,,,,Yes,No,,20,Consultant,Some college,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_XRJoz2jwg9leN8d,,,"Yes, my projects voluntarily publish their dependencies",,,,,,,,,,,No,,15,IT Manager,Bachelor's Degree,Both open source and closed source,No,No,Monthly
R_1jYT2f0uikPEOFO,Neutral,Neutral,"Yes, my projects voluntarily publish their dependencies",Agree,Neutral,Disagree,Yes,,,,Every day,Yes,,No,,25,Project Lead,Bachelor's Degree,Open source only,"Yes, informal","Yes, informal",Quarterly
R_1i87XDsBprVq0hT,Strongly disagree,Strongly disagree,"Yes, my projects voluntarily publish their dependencies",Neutral,Disagree,Disagree,,,,,,,Yes,No,,25,Programmer,Doctoral Degree,Both open source and closed source,"Yes, formal","Yes, informal",More frequently
