ResponseID,Attached to software binaries,Other,Downloadable from project website,Available from the project developers upon request,Located in repositories along with source code,Stored with trusted third party
R_snX1LGF2NUe2M6Z,5,6,2,4,1,3
R_2nSZ6Uk4gpCWUxP,3,2,4,5,1,6
R_3DbEw6tOraj96Gs,3,6,2,5,1,4
R_3kdkXujBLUZKhh0,4,6,2,5,1,3
R_3fqT2cEIFtvLSOn,4,6,3,5,2,1
R_3DvvLm2ClM35LuV,3,6,2,5,1,4
R_2fQicKO6LMixLAR,4,6,3,5,1,2
R_2cAhImlk2Ck0mat,1,6,2,5,4,3
R_Wx2cn6RfYxDu3Dz,5,6,3,4,2,1
R_2Y5O7bIDKYRDgxj,5,6,3,4,1,2
R_1q8n5SpYhsIYMg4,4,6,2,5,1,3
R_1mmIXtQKGgLWU7P,2,6,3,4,1,5
R_55W4oRWHfxOQzT3,1,6,4,5,2,3
R_4NF31pzBLP32S6R,5,6,2,4,3,1
R_pRGaZXs482rgAZX,2,6,3,5,1,4
R_1mnnusK22udQw8S,5,6,1,3,2,4
R_1n7Jt1YCHoTG4OD,2,6,4,5,3,1
R_Z9OwHebnJViKb05,1,5,2,3,6,4
R_1re29t5ffAzofYC,4,6,3,5,1,2
R_37tJ6C11CZ9OlfH,3,4,2,5,1,6
