ResponseID,Other,Located alongside the dataset,Stored with a trusted third party,Downloadable from maintainer or owner website,Available from owner upon request
R_snX1LGF2NUe2M6Z,5,1,3,2,4
R_2nSZ6Uk4gpCWUxP,5,1,4,2,3
R_3DbEw6tOraj96Gs,5,1,3,2,4
R_3kdkXujBLUZKhh0,5,2,4,1,3
R_3fqT2cEIFtvLSOn,5,1,2,3,4
R_3DvvLm2ClM35LuV,5,1,3,2,4
R_2fQicKO6LMixLAR,5,1,2,3,4
R_2cAhImlk2Ck0mat,5,4,1,3,2
R_Wx2cn6RfYxDu3Dz,5,2,1,3,4
R_2Y5O7bIDKYRDgxj,5,1,2,3,4
R_1q8n5SpYhsIYMg4,5,1,3,2,4
R_1mmIXtQKGgLWU7P,5,1,3,2,4
R_55W4oRWHfxOQzT3,5,1,2,3,4
R_4NF31pzBLP32S6R,5,2,1,3,4
R_pRGaZXs482rgAZX,5,1,3,2,4
R_1mnnusK22udQw8S,5,2,3,1,4
R_1n7Jt1YCHoTG4OD,5,2,1,3,4
R_Z9OwHebnJViKb05,5,1,4,2,3
R_1re29t5ffAzofYC,5,1,2,3,4
R_37tJ6C11CZ9OlfH,3,1,5,2,4
