ResponseID,B1,AI1,AI3,D1,C4,C6,Q1,Q2,Q3,Q5,Q6,Q8,Q9,Q10,B3,AI5,D2,D4,C3,C5
R_snX1LGF2NUe2M6Z,No,,,Agree,,,2,Researcher,Some college but as part of my high school education,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,No,"Yes, informal",Never,,No,,No,I don't know,
R_2nSZ6Uk4gpCWUxP,No,,,Neutral,,,8,Researcher,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Yes, formal","Yes, informal",Quarterly,,No,,No,No,No
R_3DbEw6tOraj96Gs,No,,,Agree,,,5,Data scientist,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,No,No,Annually,,Yes (please list them),,Yes (please list them),I don't know,
R_3kdkXujBLUZKhh0,No,,,Agree,,,2,Data Engineer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,No,No,Annually,,No,,No,I don't know,
R_3fqT2cEIFtvLSOn,Yes,,,Agree,,,6,Assistant Professor,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,No,"Yes, informal",Quarterly,No,No,No,No,I don't know,
R_3DvvLm2ClM35LuV,No,,,Disagree,,,7,ML/DL Engineer,Some college,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Yes, formal","Yes, informal",Quarterly,,Yes (please list them),,Yes (please list them),I don't know,
R_2fQicKO6LMixLAR,No,,,Agree,,,1,Programmer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Yes, informal","Yes, informal",Quarterly,,No,,No,I don't know,
R_2cAhImlk2Ck0mat,Yes,Neutral,"No, an entirely new solution is necessary",Neutral,,,9,Programmer,Master's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Yes, formal","Yes, informal",Quarterly,No,No,No,No,No,No
R_Wx2cn6RfYxDu3Dz,Yes,Agree,"Yes, current SBOMs can be adapted to support AI systems",Neutral,,,10,ML/DL Engineer,Master's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Closed source only,"Yes, informal","Yes, informal",More frequently,No,No,No,No,I don't know,
R_2Y5O7bIDKYRDgxj,Yes,,,Neutral,,,6,Project Lead,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,"Yes, informal","Yes, informal",Quarterly,No,No,No,No,I don't know,
R_1q8n5SpYhsIYMg4,Yes,,,Agree,,,6,Ml/Dl Researcher ,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,"Yes, formal",No,Annually,No,No,No,No,No,No
R_1mmIXtQKGgLWU7P,No,,,Agree,,,0,Independent Hobbyist Ai Researcher,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,No,No,Quarterly,,No,,No,I don't know,
R_55W4oRWHfxOQzT3,No,,,Strongly agree,,,3,ML/DL Engineer,Bachelor's Degree,Both deep and non-deep learning models,Open and closed source,"Yes, formal",No,Quarterly,,Yes (please list them),,No,I don't know,
R_4NF31pzBLP32S6R,No,,,Agree,,,7,Data scientist,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,"Yes, formal","Yes, formal",Annually,,No,,No,I don't know,
R_pRGaZXs482rgAZX,Yes,,,Neutral,,,3,Researcher,Doctoral Degree,"Non-deep learning models (SVMs, Decision Trees, etc.)",Open and closed source,"Yes, informal","Yes, informal",Annually,No,No,No,No,I don't know,
R_1mnnusK22udQw8S,No,,,Strongly agree,,,10,ML/DL Engineer,"PhD candidate, and still purseuing",Both deep and non-deep learning models,Open and closed source,No,No,Monthly,,No,,No,No,
R_1n7Jt1YCHoTG4OD,Yes,,,Strongly agree,Neutral,Neutral,3,Professor,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,"Yes, formal","Yes, informal",Never,No,No,No,No,Yes (please list them),Yes (please list them)
R_Z9OwHebnJViKb05,No,,,Strongly agree,,,2,Programmer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,No,No,Monthly,,No,,No,I don't know,
R_1re29t5ffAzofYC,No,,,Agree,,,6,Data scientist,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,No,No,Annually,,No,,No,I don't know,
R_37tJ6C11CZ9OlfH,Yes,,,Strongly agree,,,14,Director,Doctoral Degree,Both deep and non-deep learning models,Closed source only,No,No,Quarterly,No,No,No,No,I don't know,
