ResponseID,Make SBOM tools simpler to use,Others (please specify),No Answer,Improve the SBOM standards / specifications,Create SBOM tools that are language/ecosystem agnostic,No response,Create and adopt high-quality SBOM libraries,Support organizations that support SBOMs,Create SBOM tools for different programming languages and/or ecosystems,N/A,Ensure that SBOM generators create higher-quality SBOMs
R_OIFPGROQKKKFXy1,,,,,,,,1,,,
R_2BmS1TQTioc9AGV,,1,,,,1,,,,,
R_3KVnzvfW2dIXz1t,,,1,,,,,,,,
R_2Y5Qf0TkbmDkYZF,,,1,,,,,,,,
R_vH7zv42GvE1uQQV,,,1,,,,,,,,
R_WCMDq7mYuO9GEmd,,,1,,,,,,,,
R_1l65kF3dZ6EjvRP,,,,1,1,,1,,,,1
R_1rrmdvdJbMbMjpL,1,,,,1,,,,1,,1
R_4NtzXTLGcXmyvtf,,,,1,,,,,1,,
R_3rHTLEIdiO8tJwt,,,1,,,,,,,,
R_ebXY3RIvhqmZxBf,,,,,,,,,1,,
R_1E1gn4jpW8DYZCN,,,1,,,,,,,,
R_ahFliHRHKOE9L3j,,,1,,,,,,,,
R_DqmdF5rv1lhdemJ,,,,,,,,1,,,
R_24vJZ4SlgCPtrqV,,1,,,,,,,,1,
R_4TKAF9mkGKzXltf,,,1,,,,,,,,
R_3Op6E626ybw8q5o,,,1,,,,,,,,
R_2dmDMUTW9P2ISiB,,,,1,,,1,1,,,
R_1Hjbzz2khJ4Cwpu,1,,,1,,,,,1,,
R_XRJoz2jwg9leN8d,,,1,,,,,,,,
R_1jYT2f0uikPEOFO,1,,,,,,,,,,
R_1i87XDsBprVq0hT,,,,1,1,,,,1,,
