ResponseID,Other (please specify),"Some software I produce uses a SBOM, some do not.",We use or analyze the SBOMs of other projects (including our dependencies),We create SBOMs for the software that we produce,I am unfamiliar with SBOMs,"I am familiar with SBOMs, but we do not use them in our projects"
R_OIFPGROQKKKFXy1,,,,,,1
R_2BmS1TQTioc9AGV,,,1,1,,
R_3KVnzvfW2dIXz1t,,,,,1,
R_2Y5Qf0TkbmDkYZF,,,,,1,
R_vH7zv42GvE1uQQV,,,,,1,
R_WCMDq7mYuO9GEmd,1,1,,,,
R_1l65kF3dZ6EjvRP,,,,,,1
R_1rrmdvdJbMbMjpL,,,,,,1
R_4NtzXTLGcXmyvtf,,,1,,,
R_3rHTLEIdiO8tJwt,,,,,1,
R_ebXY3RIvhqmZxBf,,,1,1,,
R_1E1gn4jpW8DYZCN,,,,,1,
R_ahFliHRHKOE9L3j,,,,,1,
R_DqmdF5rv1lhdemJ,,,,1,,
R_24vJZ4SlgCPtrqV,,,,,,1
R_4TKAF9mkGKzXltf,,,,,1,
R_3Op6E626ybw8q5o,,,,,1,
R_2dmDMUTW9P2ISiB,,,,,,1
R_1Hjbzz2khJ4Cwpu,,,,,,1
R_XRJoz2jwg9leN8d,,,,,1,
R_1jYT2f0uikPEOFO,,,1,,,
R_1i87XDsBprVq0hT,,,,,,1
