ResponseID,Other(s),Stored with trusted third party,Located in repositories along with source code or model,Available from the project developers upon request,Attached to software binaries,Downloadable from project website
R_snX1LGF2NUe2M6Z,6,3,1,4,5,2
R_2nSZ6Uk4gpCWUxP,2,6,1,5,3,4
R_3DbEw6tOraj96Gs,6,4,1,5,3,2
R_3kdkXujBLUZKhh0,6,3,1,5,4,2
R_3fqT2cEIFtvLSOn,6,1,2,5,4,3
R_3DvvLm2ClM35LuV,6,4,1,5,3,2
R_2fQicKO6LMixLAR,6,2,1,5,4,3
R_2cAhImlk2Ck0mat,6,3,4,5,1,2
R_Wx2cn6RfYxDu3Dz,6,1,2,4,5,3
R_2Y5O7bIDKYRDgxj,6,2,1,4,5,3
R_1q8n5SpYhsIYMg4,6,3,1,5,4,2
R_1mmIXtQKGgLWU7P,6,5,1,4,2,3
R_55W4oRWHfxOQzT3,6,3,2,5,1,4
R_4NF31pzBLP32S6R,6,1,3,4,5,2
R_pRGaZXs482rgAZX,6,4,1,5,2,3
R_1mnnusK22udQw8S,6,4,2,3,5,1
R_1n7Jt1YCHoTG4OD,6,1,3,5,2,4
R_Z9OwHebnJViKb05,5,4,6,3,1,2
R_1re29t5ffAzofYC,6,2,1,5,4,3
R_37tJ6C11CZ9OlfH,4,6,1,5,3,2
