ResponseID,B1,B3,AI1,AI3,AI5,D1,D2,D4,C3,C4,C5,C6,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10
R_snX1LGF2NUe2M6Z,No,,,,No,Agree,,No,I don't know,,,,2,researcher,Some college but as part of my high school education,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,content retrieval,No,"Yes, informal",Never
R_2nSZ6Uk4gpCWUxP,No,,,,No,Neutral,,No,No,,No,,8,Researcher,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Healthcare, security, conservation, assistive technology","Yes, formal","Yes, informal",Quarterly
R_3DbEw6tOraj96Gs,No,,,,HuggingFace does this to a certain degree when you train models with their Trainer and push them to the hub with push_to_hub. The README is populated with a lot of information that was mentioned in the previous question. ,Agree,,"Again, HuggingFace does this to a certain degree with the dataset cards on the HF hub",I don't know,,,,5,Data scientist,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,Mainly healthcare and biology,No,No,Annually
R_3kdkXujBLUZKhh0,No,,,,No,Agree,,No,I don't know,,,,2,Data Engineer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"E commerce , financial services, insurance",No,No,Annually
R_3fqT2cEIFtvLSOn,Yes,No,,,No,Agree,No,No,I don't know,,,,6,Assistant Professor,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,"Healthcare, biomedicine",No,"Yes, informal",Quarterly
R_3DvvLm2ClM35LuV,No,,,,"Huggingface Hub, DVC, ML-Flow",Disagree,,Huggingface Datasets,I don't know,,,,7,ML/DL Engineer,Some college,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"B2B Projects in several domains including HealthCare, Finance, Tourism, Law/Public Services","Yes, formal","Yes, informal",Quarterly
R_2fQicKO6LMixLAR,No,,,,No,Agree,,No,I don't know,,,,1,Programmer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,Security ,"Yes, informal","Yes, informal",Quarterly
R_2cAhImlk2Ck0mat,Yes,No,Neutral,"No, an entirely new solution is necessary",No,Neutral,No,No,No,,No,,9,Programmer,Master's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,telecom,"Yes, formal","Yes, informal",Quarterly
R_Wx2cn6RfYxDu3Dz,Yes,No,Agree,"Yes, current SBOMs can be adapted to support AI systems",No,Neutral,No,No,I don't know,,,,10,ML/DL Engineer,Master's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Closed source only,"Manufacturing, Airspace, Defense, Police","Yes, informal","Yes, informal",More frequently
R_2Y5O7bIDKYRDgxj,Yes,No,,,No,Neutral,No,No,I don't know,,,,6,Project Lead,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,Academic,"Yes, informal","Yes, informal",Quarterly
R_1q8n5SpYhsIYMg4,Yes,No,,,No,Agree,No,No,No,,No,,6,ML/DL Researcher ,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,"Healthcare, Finance.","Yes, formal",No,Annually
R_1mmIXtQKGgLWU7P,No,,,,No,Agree,,No,I don't know,,,,0,independent hobbyist ai researcher,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,N/A,No,No,Quarterly
R_55W4oRWHfxOQzT3,No,,,,huggingface model card/dataset card,Strongly agree,,No,I don't know,,,,3,ML/DL Engineer,Bachelor's Degree,Both deep and non-deep learning models,Open and closed source,e-commerce,"Yes, formal",No,Quarterly
R_4NF31pzBLP32S6R,No,,,,No,Agree,,No,I don't know,,,,7,Data scientist,Doctoral Degree,Both deep and non-deep learning models,Open and closed source,N/A,"Yes, formal","Yes, formal",Annually
R_pRGaZXs482rgAZX,Yes,No,,,No,Neutral,No,No,I don't know,,,,3,Researcher,Doctoral Degree,"Non-deep learning models (SVMs, Decision Trees, etc.)",Open and closed source,Software Engineering research; Healthcare,"Yes, informal","Yes, informal",Annually
R_1mnnusK22udQw8S,No,,,,No,Strongly agree,,No,No,,,,10,ML/DL Engineer,"PhD candidate, and still purseuing",Both deep and non-deep learning models,Open and closed source,"Retail, logistics, marketing, banking, healthcare, medical imaging, defense, security, and disease monitoring and diagnostics.",No,No,Monthly
R_1n7Jt1YCHoTG4OD,Yes,No,,,No,Strongly agree,No,No,The CVE database...?,Neutral,The CVE database?,Neutral,3,Professor,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open source only,Academic,"Yes, formal","Yes, informal",Never
R_Z9OwHebnJViKb05,No,,,,No,Strongly agree,,No,I don't know,,,,2,Programmer,Bachelor's Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,audio processing,No,No,Monthly
R_1re29t5ffAzofYC,No,,,,No,Agree,,No,I don't know,,,,6,Data scientist,Doctoral Degree,"Deep Learning models (CNNs, RNNs, Transformers, etc.)",Open and closed source,"Software Engineering, development",No,No,Annually
R_37tJ6C11CZ9OlfH,Yes,No,,,No,Strongly agree,No,No,I don't know,,,,14,Director,Doctoral Degree,Both deep and non-deep learning models,Closed source only,"Department of Defense, Healthcare",No,No,Quarterly
