ResponseID,Other (please specify),I work as OSS Compliance expert and train developers about SBOMs and their uses.,"I may be evaluating SBOMs already, although without formal training, or even knowing that the dependencies I look at are called SBOMs.",I am involved in defining standards / specifications for SBOMs,I work on International Standards for a SBOM Trust Registry,I use the SBOMs of software projects I am involved in or third-party software components/dependencies,"I develop, compile, and/or apply educational resources related to SBOMs",I create tools that generate or process SBOMs,"I use SBOMs occassionally, but generally only if I'm going to be distributing the software. Personal projects, not so much.",my company does not give adherence or importance to SBOM,"I am aware of SBOMs, but don't use them.","SBOM policy, eg how addressed in EU Cyber Resilience Act",I create SBOMs for the software projects I am involved in
R_3NP6V06n6Ea5N5Z,1,,,,,,,,,,1,,
R_1P776djwnwYYHqv,,,,,,1,1,,,,,,
R_pSFEcWrIVGPzkcN,,,,1,,,,,,,,,
R_1JUtR4olDrf7HbR,,,,,,1,,,,,,,
R_3kcX5GVjOS0Bqsc,,,,1,,1,1,1,,,,,1
R_9mlyPsE52APF3RT,,,,,,,1,,,,,,
R_3Gvw4BEgHtMjou7,,,,,,,,1,,,,,1
R_1etaPjf7ww473XA,,,,1,,,,1,,,,,
R_1lt6DlQzUc9YCuQ,,,,1,,1,,1,,,,,1
R_1M4HoMp9oXP92Jc,,,,1,,,,1,,,,,
R_3MrNOoshiY0ac9F,,,,1,,1,,1,,,,,1
R_1CqN5FujZLDvcKR,,,,1,,1,1,1,,,,,1
R_1gnCm7rvxLjS2rN,,,,1,,,,1,,,,,
R_2uq9Acrc4ykecue,,,,,,1,,1,,,,,
R_1OW6El7D3OdhNRf,,,,,,1,,1,,,,,1
R_2X02uH9Mm87FxHp,1,,,1,1,1,1,1,,,,,1
R_bHpYNSKRMzkT17z,,,,1,,1,,1,,,,,
R_2tgjPTTsOMyIVO4,,,,1,,,,,,,,,
R_1dvn1oXd2P5Cn5j,,,,,,1,,,,,,,1
R_1diviwEB1kpQfiN,,,,1,,1,1,1,,,,,1
R_2s5ZlVioDWKw8nl,,,,,,,1,,,,,,
R_3HviW61b1bwSd9l,,,,,,,,,,,,,1
R_1OB0LxI7A9lN4v1,,,,,,1,,,,,,,1
R_1DpptG7RIqiyn7A,,,,,,1,,,,,,,
R_see02VMCNuhmSQN,,,,,,1,,,,,,,
R_2dLMPLyI3CfVNMD,,,,1,,,,,,,,,
R_XMyDUO6vfwhb8CR,,,,,,1,,,,,,,1
R_1pXOYrzicaKEh9a,,,,1,,1,1,1,,,,,1
R_9t3tC0i9hMcu7wl,,,,,,,,1,,,,,1
R_2qjW7wCBbBFUunR,1,,1,,,,,,,,,,
R_11db8BgtVC2jgQK,,,,,,,1,,,,,,1
R_2ceH0MWA48ZbGWV,,,,,,,,,,,,,1
R_2zcJ4lHWpUWKJ2n,,,,,,,,1,,,,,
R_3LXdpHRFEVQIe4u,,,,,,1,,,,,,,
R_2yl8CXmByyorHTE,,,,1,,1,1,1,,,,,1
R_OxHDuxOp8wX3Co1,,,,,,,,,,,,,1
R_3Mapsvs7nPqOx01,,,,,,,,,,,,,1
R_1dKyAHvfmPtEwpX,,,,,,,,1,,,,,
R_2q9OkXfkfd1mKNK,,,,,,1,,1,,,,,1
R_2Y2DOiMoGMWSQUx,,,,,,,,,,,,,1
R_1KiKqNbCINEHxXY,,,,,,1,,1,,,,,1
R_1Cxae15gxzt2pNE,,,,,,,,1,,,,,1
R_2PAxXAIEnt2gfqt,,,,,,1,,,,,,,1
R_2QrYYG4zX8M9X45,,,,,,,1,,,,,,
R_ZxHSmfKLU5TKoy5,,,,,,1,,,,,,,
R_2Sxhtfy98WZgbDK,,,,,,1,,,,,,,
R_2AQHobX7zarEkVF,,,,,,1,,,,,,,
R_wLxhLmNWViOfUVH,,,,,,1,,,,,,,1
R_3DhBfeNEkEfvMqv,1,1,,,,,,,,,,,
R_6hvm6eM6zWh1LpL,,,,,,1,,,,,,,
R_3fwNV4JCR7gYKCq,,,,,,1,1,,,,,,1
R_uwgtDqxLmrDWQLf,,,,,,,,1,,,,,1
R_2QyoYDd5Nw95V9i,,,,,,,,,,,,,1
R_1lmiszxqcb8G6Br,,,,,,,,,,,,,1
R_6JBdPlVxaRCxjah,1,,,,,,,,,1,,,
R_2ZNqQzhlTfV14P2,1,,,,,,,,,,,1,
R_eG8r0YjTDRCybL3,,,,1,,1,1,1,,,,,1
R_3MtHobBp4TUfCnf,,,,,,1,1,1,,,,,1
R_3DezCyLeytdTqTe,,,,,,1,,,,,,,1
R_1rPnXt5fSoW2ckE,1,,,,,,,,1,,,,1
R_6JS2nMbliGrg85X,,,,,,,,,,,,,1
