ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_3NP6V06n6Ea5N5Z,,,,,,
R_1P776djwnwYYHqv,4,5,3,6,2,1
R_pSFEcWrIVGPzkcN,,,,,,
R_1JUtR4olDrf7HbR,1,3,5,6,4,2
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_9mlyPsE52APF3RT,,,,,,
R_3Gvw4BEgHtMjou7,2,4,5,6,3,1
R_1etaPjf7ww473XA,,,,,,
R_1lt6DlQzUc9YCuQ,2,4,1,5,3,6
R_1M4HoMp9oXP92Jc,,,,,,
R_3MrNOoshiY0ac9F,3,5,1,6,4,2
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_1gnCm7rvxLjS2rN,,,,,,
R_2uq9Acrc4ykecue,4,6,2,1,5,3
R_1OW6El7D3OdhNRf,1,5,3,6,4,2
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_bHpYNSKRMzkT17z,4,2,1,6,3,5
R_2tgjPTTsOMyIVO4,,,,,,
R_1dvn1oXd2P5Cn5j,5,3,2,6,4,1
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_2s5ZlVioDWKw8nl,,,,,,
R_3HviW61b1bwSd9l,3,5,4,6,1,2
R_1OB0LxI7A9lN4v1,3,1,4,6,5,2
R_1DpptG7RIqiyn7A,2,5,3,6,1,4
R_see02VMCNuhmSQN,3,5,2,6,4,1
R_2dLMPLyI3CfVNMD,,,,,,
R_XMyDUO6vfwhb8CR,1,2,4,6,5,3
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_9t3tC0i9hMcu7wl,3,6,2,5,1,4
R_2qjW7wCBbBFUunR,,,,,,
R_11db8BgtVC2jgQK,3,5,2,6,4,1
R_2ceH0MWA48ZbGWV,5,4,3,6,2,1
R_2zcJ4lHWpUWKJ2n,,,,,,
R_3LXdpHRFEVQIe4u,3,5,1,6,4,2
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_OxHDuxOp8wX3Co1,6,2,4,1,5,3
R_3Mapsvs7nPqOx01,3,4,5,6,2,1
R_1dKyAHvfmPtEwpX,,,,,,
R_2q9OkXfkfd1mKNK,3,5,2,6,4,1
R_2Y2DOiMoGMWSQUx,3,5,1,6,4,2
R_1KiKqNbCINEHxXY,4,5,3,6,2,1
R_1Cxae15gxzt2pNE,4,5,3,6,2,1
R_2PAxXAIEnt2gfqt,4,5,1,6,3,2
R_2QrYYG4zX8M9X45,,,,,,
R_ZxHSmfKLU5TKoy5,3,2,5,6,4,1
R_2Sxhtfy98WZgbDK,3,5,2,6,1,4
R_2AQHobX7zarEkVF,4,5,3,6,2,1
R_wLxhLmNWViOfUVH,3,5,4,6,2,1
R_3DhBfeNEkEfvMqv,,,,,,
R_6hvm6eM6zWh1LpL,4,5,2,6,3,1
R_3fwNV4JCR7gYKCq,4,5,3,6,2,1
R_uwgtDqxLmrDWQLf,3,5,1,6,4,2
R_2QyoYDd5Nw95V9i,2,5,3,6,4,1
R_1lmiszxqcb8G6Br,1,4,5,6,3,2
R_6JBdPlVxaRCxjah,,,,,,
R_2ZNqQzhlTfV14P2,,,,,,
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
R_3MtHobBp4TUfCnf,6,5,4,3,2,1
R_3DezCyLeytdTqTe,4,5,1,6,2,3
R_1rPnXt5fSoW2ckE,,,,,,
R_6JS2nMbliGrg85X,1,5,3,6,4,2
