ResponseID,Software stakeholders seeking to create SBOMs for their projects,Other (please specify),Software stakeholders seeking to remove/replace end-of-life components,Software stakeholders seeking to enhance their projects’ security,"Generally SCA, and embedding in other SCA tools.",Software stakeholders seeking to meet licensing requirements,open source projects who couldnt'/wouldn't use expensive proprietary tools for vulnerability scanning,Businesses and organizations seeking to meet requirements set by regulatory bodies,Businesses and organizations seeking to gain insights into the connections between different pieces of software that they use and/or maintain,Software supply chain risk assessments in accordance with  NIST/CISA requirements for OMB memo M-22-18,Software stakeholders seeking to analyze a project's dependencies,No Answer
R_1P776djwnwYYHqv,,,,,,,,,,,,1
R_1JUtR4olDrf7HbR,,,,,,,,,,,,1
R_3kcX5GVjOS0Bqsc,1,,,1,,1,,1,1,,1,
R_1lt6DlQzUc9YCuQ,1,,,1,,1,,1,1,,1,
R_3MrNOoshiY0ac9F,1,,,,,,,1,,,,
R_1CqN5FujZLDvcKR,1,,,1,,1,,,,,1,
R_2uq9Acrc4ykecue,,,,1,,,,,1,,1,
R_1OW6El7D3OdhNRf,,,,1,,,,1,,,,
R_2X02uH9Mm87FxHp,,1,,1,,,,1,1,1,,
R_bHpYNSKRMzkT17z,1,,,,,1,,1,,,,
R_1dvn1oXd2P5Cn5j,,,,,,,,,,,,1
R_1diviwEB1kpQfiN,1,1,1,1,1,1,,1,1,,1,
R_1OB0LxI7A9lN4v1,,,,,,,,,,,,1
R_1DpptG7RIqiyn7A,,,,,,,,,,,,1
R_see02VMCNuhmSQN,,,,,,,,,,,,1
R_XMyDUO6vfwhb8CR,,,,,,,,,,,,1
R_1pXOYrzicaKEh9a,1,,1,1,,1,,1,1,,1,
R_3LXdpHRFEVQIe4u,,,,,,,,,,,,1
R_2yl8CXmByyorHTE,,,1,,,,,,,,,
R_2q9OkXfkfd1mKNK,,,,1,,,,,,,1,
R_1KiKqNbCINEHxXY,,,,1,,,,,,,,
R_2PAxXAIEnt2gfqt,,,,,,,,,,,,1
R_ZxHSmfKLU5TKoy5,,,,,,,,,,,,1
R_2Sxhtfy98WZgbDK,,,,,,,,,,,,1
R_2AQHobX7zarEkVF,,,,,,,,,,,,1
R_wLxhLmNWViOfUVH,,,,,,,,,,,,1
R_6hvm6eM6zWh1LpL,,,,,,,,,,,,1
R_3fwNV4JCR7gYKCq,,,,,,,,,,,,1
R_eG8r0YjTDRCybL3,1,,1,1,,1,,1,1,,1,
R_3MtHobBp4TUfCnf,1,1,1,1,,1,1,1,1,,1,
R_3DezCyLeytdTqTe,,,,,,,,,,,,1
