ResponseID,Other (please specify),Specialized training courses or seminars,Official SBOM format documentation,Integration of SBOM functionality into existing tools,Conference presentations,Curated SBOM examples,Requirements set by regulatory bodies
R_1P776djwnwYYHqv,7,5,2,1,4,3,6
R_1JUtR4olDrf7HbR,,,,,,,
R_3kcX5GVjOS0Bqsc,7,5,1,3,4,2,6
R_1lt6DlQzUc9YCuQ,,,,,,,
R_3MrNOoshiY0ac9F,,,,,,,
R_1CqN5FujZLDvcKR,4,1,7,5,3,2,6
R_2uq9Acrc4ykecue,,,,,,,
R_1OW6El7D3OdhNRf,,,,,,,
R_2X02uH9Mm87FxHp,7,5,3,4,6,1,2
R_bHpYNSKRMzkT17z,,,,,,,
R_1dvn1oXd2P5Cn5j,,,,,,,
R_1diviwEB1kpQfiN,7,5,1,2,4,3,6
R_1OB0LxI7A9lN4v1,,,,,,,
R_1DpptG7RIqiyn7A,,,,,,,
R_see02VMCNuhmSQN,,,,,,,
R_XMyDUO6vfwhb8CR,,,,,,,
R_1pXOYrzicaKEh9a,7,1,6,2,3,5,4
R_3LXdpHRFEVQIe4u,,,,,,,
R_2yl8CXmByyorHTE,7,5,3,2,4,1,6
R_2q9OkXfkfd1mKNK,,,,,,,
R_1KiKqNbCINEHxXY,,,,,,,
R_2PAxXAIEnt2gfqt,,,,,,,
R_ZxHSmfKLU5TKoy5,,,,,,,
R_2Sxhtfy98WZgbDK,,,,,,,
R_2AQHobX7zarEkVF,,,,,,,
R_wLxhLmNWViOfUVH,,,,,,,
R_6hvm6eM6zWh1LpL,,,,,,,
R_3fwNV4JCR7gYKCq,7,6,3,1,5,2,4
R_eG8r0YjTDRCybL3,7,5,4,3,2,1,6
R_3MtHobBp4TUfCnf,7,6,3,4,2,1,5
R_3DezCyLeytdTqTe,,,,,,,
