ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_1P776djwnwYYHqv,4,5,3,6,2,1
R_1JUtR4olDrf7HbR,1,3,5,6,4,2
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_1lt6DlQzUc9YCuQ,2,4,1,5,3,6
R_3MrNOoshiY0ac9F,3,5,1,6,4,2
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_2uq9Acrc4ykecue,4,6,2,1,5,3
R_1OW6El7D3OdhNRf,1,5,3,6,4,2
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_bHpYNSKRMzkT17z,4,2,1,6,3,5
R_1dvn1oXd2P5Cn5j,5,3,2,6,4,1
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_1OB0LxI7A9lN4v1,3,1,4,6,5,2
R_1DpptG7RIqiyn7A,2,5,3,6,1,4
R_see02VMCNuhmSQN,3,5,2,6,4,1
R_XMyDUO6vfwhb8CR,1,2,4,6,5,3
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_3LXdpHRFEVQIe4u,3,5,1,6,4,2
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_2q9OkXfkfd1mKNK,3,5,2,6,4,1
R_1KiKqNbCINEHxXY,4,5,3,6,2,1
R_2PAxXAIEnt2gfqt,4,5,1,6,3,2
R_ZxHSmfKLU5TKoy5,3,2,5,6,4,1
R_2Sxhtfy98WZgbDK,3,5,2,6,1,4
R_2AQHobX7zarEkVF,4,5,3,6,2,1
R_wLxhLmNWViOfUVH,3,5,4,6,2,1
R_6hvm6eM6zWh1LpL,4,5,2,6,3,1
R_3fwNV4JCR7gYKCq,4,5,3,6,2,1
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
R_3MtHobBp4TUfCnf,6,5,4,3,2,1
R_3DezCyLeytdTqTe,4,5,1,6,2,3
