ResponseID,Other (please specify),Multiple of these at once.,No Answer,During each software build,During each software deployment,"At the developer's discretion, from source code",During project planning,When publishing a patch release,When publishing a major software release
R_1P776djwnwYYHqv,,,1,,,,,,
R_3kcX5GVjOS0Bqsc,,,,1,,,,,
R_9mlyPsE52APF3RT,,,1,,,,,,
R_1CqN5FujZLDvcKR,,,,1,1,,1,,1
R_2X02uH9Mm87FxHp,1,,,,1,,,1,1
R_1diviwEB1kpQfiN,,,,1,1,1,,,1
R_2s5ZlVioDWKw8nl,,,1,,,,,,
R_1pXOYrzicaKEh9a,,,,1,,,,,1
R_11db8BgtVC2jgQK,,,,1,,,,,
R_2yl8CXmByyorHTE,,,,1,1,1,1,,1
R_2QrYYG4zX8M9X45,,,1,,,,,,
R_3fwNV4JCR7gYKCq,,,,1,,,,,
R_eG8r0YjTDRCybL3,,,,1,,,,,
R_3MtHobBp4TUfCnf,1,1,,1,1,,1,,1
