ResponseID,Other (please specify),Specialized training courses or seminars,Official SBOM format documentation,Integration of SBOM functionality into existing tools,Conference presentations,Curated SBOM examples,Requirements set by regulatory bodies
R_1P776djwnwYYHqv,7,5,2,1,4,3,6
R_3kcX5GVjOS0Bqsc,7,5,1,3,4,2,6
R_9mlyPsE52APF3RT,7,3,1,2,4,5,6
R_1CqN5FujZLDvcKR,4,1,7,5,3,2,6
R_2X02uH9Mm87FxHp,7,5,3,4,6,1,2
R_1diviwEB1kpQfiN,7,5,1,2,4,3,6
R_2s5ZlVioDWKw8nl,7,2,3,5,1,6,4
R_1pXOYrzicaKEh9a,7,1,6,2,3,5,4
R_11db8BgtVC2jgQK,7,5,4,1,2,3,6
R_2yl8CXmByyorHTE,7,5,3,2,4,1,6
R_2QrYYG4zX8M9X45,7,5,1,4,3,2,6
R_3fwNV4JCR7gYKCq,7,6,3,1,5,2,4
R_eG8r0YjTDRCybL3,7,5,4,3,2,1,6
R_3MtHobBp4TUfCnf,7,6,3,4,2,1,5
