ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_1P776djwnwYYHqv,4,5,3,6,2,1
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_9mlyPsE52APF3RT,,,,,,
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_2s5ZlVioDWKw8nl,,,,,,
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_11db8BgtVC2jgQK,3,5,2,6,4,1
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_2QrYYG4zX8M9X45,,,,,,
R_3fwNV4JCR7gYKCq,4,5,3,6,2,1
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
R_3MtHobBp4TUfCnf,6,5,4,3,2,1
