ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_3Gvw4BEgHtMjou7,2,4,5,6,3,1
R_1lt6DlQzUc9YCuQ,2,4,1,5,3,6
R_3MrNOoshiY0ac9F,3,5,1,6,4,2
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_1OW6El7D3OdhNRf,1,5,3,6,4,2
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_1dvn1oXd2P5Cn5j,5,3,2,6,4,1
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_3HviW61b1bwSd9l,3,5,4,6,1,2
R_1OB0LxI7A9lN4v1,3,1,4,6,5,2
R_XMyDUO6vfwhb8CR,1,2,4,6,5,3
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_9t3tC0i9hMcu7wl,3,6,2,5,1,4
R_11db8BgtVC2jgQK,3,5,2,6,4,1
R_2ceH0MWA48ZbGWV,5,4,3,6,2,1
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_OxHDuxOp8wX3Co1,6,2,4,1,5,3
R_3Mapsvs7nPqOx01,3,4,5,6,2,1
R_2q9OkXfkfd1mKNK,3,5,2,6,4,1
R_2Y2DOiMoGMWSQUx,3,5,1,6,4,2
R_1KiKqNbCINEHxXY,4,5,3,6,2,1
R_1Cxae15gxzt2pNE,4,5,3,6,2,1
R_2PAxXAIEnt2gfqt,4,5,1,6,3,2
R_wLxhLmNWViOfUVH,3,5,4,6,2,1
R_3fwNV4JCR7gYKCq,4,5,3,6,2,1
R_uwgtDqxLmrDWQLf,3,5,1,6,4,2
R_2QyoYDd5Nw95V9i,2,5,3,6,4,1
R_1lmiszxqcb8G6Br,1,4,5,6,3,2
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
R_3MtHobBp4TUfCnf,6,5,4,3,2,1
R_3DezCyLeytdTqTe,4,5,1,6,2,3
R_1rPnXt5fSoW2ckE,,,,,,
R_6JS2nMbliGrg85X,1,5,3,6,4,2
