ResponseID,S4,S7,P7,C4,C5,T5,E2,E3,SC1,SC2,SC3,SC4,SC5,SC6,Q1,Q2,Q3,Q7,Q6,Q8,Q9,Q10
R_3kcX5GVjOS0Bqsc,Strongly agree,Neutral,Yes,Every day,Yes,Agree,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,40,Consultant,Bachelor's Degree,"Technology (Computer hardware vendors, web conferencing providers, web based application developers)",Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_3Gvw4BEgHtMjou7,Agree,Neutral,No,,,Disagree,,,Agree,Yes,Neutral,Neutral,No,,38,Programmer,HND/HNC,"Transportation, defence, nuclear, commercial.",Both open source and closed source,No,No,Quarterly
R_1lt6DlQzUc9YCuQ,Agree,Neutral,Yes,Every day,Yes,Strongly disagree,,,Strongly agree,Yes,Agree,Disagree,Yes,I don’t know,20,Programmer,Bachelor's Degree,everything...,Both open source and closed source,"Yes, informal",No,Quarterly
R_3MrNOoshiY0ac9F,Agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Neutral,No,,15,Project Lead,Master's Degree,libraries for linux,Both open source and closed source,"Yes, formal","Yes, informal",More frequently
R_1CqN5FujZLDvcKR,Neutral,Disagree,Yes,Depends on release cycle,Yes,Disagree,Neutral,Neutral,,Yes,Neutral,Disagree,Yes,Yes,40,Consultant,Master's Degree,"Energy, Finance, Defence",Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_1OW6El7D3OdhNRf,Strongly agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Agree,No,,3,Programmer,Bachelor's Degree,software security,Both open source and closed source,"Yes, formal",No,Monthly
R_2X02uH9Mm87FxHp,Strongly disagree,Strongly agree,Yes,Every day,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Yes,Yes,40,Project Lead,Some college,Energy (Electric and Natural Gas),Closed source only,"Yes, formal","Yes, informal",Quarterly
R_1dvn1oXd2P5Cn5j,Agree,Disagree,No,Once per week,Yes,,,,Neutral,Yes,Disagree,Disagree,Yes,Yes,30,IT Manager,Master's Degree,"banking, healthcare, ecommercem, self driving cards",Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_1diviwEB1kpQfiN,Strongly agree,Agree,Yes,on each commit and build,Yes,Disagree,Disagree,Disagree,Strongly agree,Yes,Agree,Neutral,Yes,Yes,25,Project Lead,Master's Degree,"banking back-office, IT asset management, software management. ",Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_3HviW61b1bwSd9l,Agree,,Yes,,,,,,Agree,No,,,,,,Project Manager,Master's Degree,Medical Internet,Both open source and closed source,"Yes, formal","Yes, formal",Annually
R_1OB0LxI7A9lN4v1,Neutral,Neutral,Yes,Once per week,No,,,,Agree,Yes,Agree,Neutral,Yes,Yes,1,Programmer,Master's Degree,Healthcare industry,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_XMyDUO6vfwhb8CR,Strongly agree,Strongly agree,Yes,Every day,Yes,,,,Strongly agree,Yes,Neutral,Disagree,Yes,Yes,4,DevOps Engineer,Bachelor's Degree,National city Bank of New York,Open source only,"Yes, formal","Yes, formal",Monthly
R_1pXOYrzicaKEh9a,Strongly agree,Disagree,Yes,Every day,Yes,Disagree,Agree,Disagree,Strongly agree,Yes,Neutral,Agree,No,,20,CTO,Bachelor's Degree,All,Both open source and closed source,"Yes, formal","Yes, formal",More frequently
