ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_pSFEcWrIVGPzkcN,,,,,,
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_1etaPjf7ww473XA,,,,,,
R_1lt6DlQzUc9YCuQ,2,4,1,5,3,6
R_1M4HoMp9oXP92Jc,,,,,,
R_3MrNOoshiY0ac9F,3,5,1,6,4,2
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_1gnCm7rvxLjS2rN,,,,,,
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_bHpYNSKRMzkT17z,4,2,1,6,3,5
R_2tgjPTTsOMyIVO4,,,,,,
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_2dLMPLyI3CfVNMD,,,,,,
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
