ResponseID,Other (please specify),I am involved in defining standards / specifications for SBOMs,I work on International Standards for a SBOM Trust Registry,"I develop, compile, and/or apply educational resources related to SBOMs",I use the SBOMs of software projects I am involved in or third-party software components/dependencies,I create tools that generate or process SBOMs,I create SBOMs for the software projects I am involved in
R_3kcX5GVjOS0Bqsc,,1,,1,1,1,1
R_3Gvw4BEgHtMjou7,,,,,,1,1
R_1etaPjf7ww473XA,,1,,,,1,
R_1lt6DlQzUc9YCuQ,,1,,,1,1,1
R_1M4HoMp9oXP92Jc,,1,,,,1,
R_3MrNOoshiY0ac9F,,1,,,1,1,1
R_1CqN5FujZLDvcKR,,1,,1,1,1,1
R_1gnCm7rvxLjS2rN,,1,,,,1,
R_2uq9Acrc4ykecue,,,,,1,1,
R_1OW6El7D3OdhNRf,,,,,1,1,1
R_2X02uH9Mm87FxHp,1,1,1,1,1,1,1
R_bHpYNSKRMzkT17z,,1,,,1,1,
R_1diviwEB1kpQfiN,,1,,1,1,1,1
R_1pXOYrzicaKEh9a,,1,,1,1,1,1
R_9t3tC0i9hMcu7wl,,,,,,1,1
R_2zcJ4lHWpUWKJ2n,,,,,,1,
R_2yl8CXmByyorHTE,,1,,1,1,1,1
R_1dKyAHvfmPtEwpX,,,,,,1,
R_2q9OkXfkfd1mKNK,,,,,1,1,1
R_1KiKqNbCINEHxXY,,,,,1,1,1
R_1Cxae15gxzt2pNE,,,,,,1,1
R_uwgtDqxLmrDWQLf,,,,,,1,1
R_eG8r0YjTDRCybL3,,1,,1,1,1,1
R_3MtHobBp4TUfCnf,,,,1,1,1,1
