ResponseID,Software stakeholders seeking to create SBOMs for their projects,Other (please specify),Software stakeholders seeking to remove/replace end-of-life components,Software stakeholders seeking to enhance their projects’ security,"Generally SCA, and embedding in other SCA tools.",Software stakeholders seeking to meet licensing requirements,open source projects who couldnt'/wouldn't use expensive proprietary tools for vulnerability scanning,Businesses and organizations seeking to meet requirements set by regulatory bodies,Software supply chain risk assessments in accordance with  NIST/CISA requirements for OMB memo M-22-18,Software stakeholders seeking to analyze a project's dependencies,Businesses and organizations seeking to gain insights into the connections between different pieces of software that they use and/or maintain
R_3kcX5GVjOS0Bqsc,1,,,1,,1,,1,,1,1
R_3Gvw4BEgHtMjou7,1,,,,,1,,,,,1
R_1etaPjf7ww473XA,,,,1,,1,,1,,1,
R_1lt6DlQzUc9YCuQ,1,,,1,,1,,1,,1,1
R_1M4HoMp9oXP92Jc,,,,1,,,,,,1,
R_3MrNOoshiY0ac9F,1,,,,,,,1,,,
R_1CqN5FujZLDvcKR,1,,,1,,1,,,,1,
R_1gnCm7rvxLjS2rN,1,,1,1,,,,1,,,
R_2uq9Acrc4ykecue,,,,1,,,,,,1,1
R_1OW6El7D3OdhNRf,,,,1,,,,1,,,
R_2X02uH9Mm87FxHp,,1,,1,,,,1,1,,1
R_bHpYNSKRMzkT17z,1,,,,,1,,1,,,
R_1diviwEB1kpQfiN,1,1,1,1,1,1,,1,,1,1
R_1pXOYrzicaKEh9a,1,,1,1,,1,,1,,1,1
R_9t3tC0i9hMcu7wl,1,,,,,1,,1,,,
R_2zcJ4lHWpUWKJ2n,,,,1,,,,,,,
R_2yl8CXmByyorHTE,,,1,,,,,,,,
R_1dKyAHvfmPtEwpX,,,,,,1,,1,,,
R_2q9OkXfkfd1mKNK,,,,1,,,,,,1,
R_1KiKqNbCINEHxXY,,,,1,,,,,,,
R_1Cxae15gxzt2pNE,1,,,1,,1,,,,1,1
R_uwgtDqxLmrDWQLf,,,,1,,,,,,1,
R_eG8r0YjTDRCybL3,1,,1,1,,1,,1,,1,1
R_3MtHobBp4TUfCnf,1,1,1,1,,1,1,1,,1,1
