ResponseID,Stored with trusted third party,Available from the project developers upon request,Attached to software binaries,Other(s),Downloadable from project website,Located in repositories along with source code
R_3kcX5GVjOS0Bqsc,5,6,4,1,3,2
R_3Gvw4BEgHtMjou7,2,4,5,6,3,1
R_1etaPjf7ww473XA,,,,,,
R_1lt6DlQzUc9YCuQ,2,4,1,5,3,6
R_1M4HoMp9oXP92Jc,,,,,,
R_3MrNOoshiY0ac9F,3,5,1,6,4,2
R_1CqN5FujZLDvcKR,3,2,1,6,5,4
R_1gnCm7rvxLjS2rN,,,,,,
R_2uq9Acrc4ykecue,4,6,2,1,5,3
R_1OW6El7D3OdhNRf,1,5,3,6,4,2
R_2X02uH9Mm87FxHp,5,4,3,1,2,6
R_bHpYNSKRMzkT17z,4,2,1,6,3,5
R_1diviwEB1kpQfiN,5,4,3,6,2,1
R_1pXOYrzicaKEh9a,1,5,6,2,4,3
R_9t3tC0i9hMcu7wl,3,6,2,5,1,4
R_2zcJ4lHWpUWKJ2n,,,,,,
R_2yl8CXmByyorHTE,1,4,5,6,3,2
R_1dKyAHvfmPtEwpX,,,,,,
R_2q9OkXfkfd1mKNK,3,5,2,6,4,1
R_1KiKqNbCINEHxXY,4,5,3,6,2,1
R_1Cxae15gxzt2pNE,4,5,3,6,2,1
R_uwgtDqxLmrDWQLf,3,5,1,6,4,2
R_eG8r0YjTDRCybL3,4,5,6,3,2,1
R_3MtHobBp4TUfCnf,6,5,4,3,2,1
